ID,Author_Name,Years,Author_ID,Title,Year,School,School_ID,Department_free_text,Department_broad_category,Department CBID,Subject_broad,Root_dissertation,Advisor_Name_1,Advisor_ID_1,Advisor_Role_1,Advisor_Name_2,Advisor_ID_2,Advisor_Role_2,Advisor_Name_3,Advisor_ID_3,Advisor_Role_3,Advisor_Name_4,Advisor_ID_4,Advisor_Role_4,Advisor_Name_5,Advisor_ID_5,Advisor_Role_5,Advisor_Name_6,Advisor_ID_6,Advisor_Role_6,Advisor_Name_7,Advisor_ID_7,Advisor_Role_7,Advisor_Name_8,Advisor_ID_8,Advisor_Role_8,Category_ID,Source Notes,Edition_Details
COMB_000049,"Pearson, Reggie L.",,CBA000078194,"Crucible of Change: Black Health Care in the Urban South, 1910--1954",2004,University of North Carolina at Chapel Hill,CBA000162511,,,,,,"Wailoo, Keith A.",CBA000106751,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,CBA000131336,,"Advisor: Wailoo, Keith"
COMB_000050,"Martinez, Jesus Ruben",,CBA000154470,The Adventures of Luis Alvarez: Identity Politics in the Making of an American Science,2011,"University of Texas, Austin",CBA000162729,,,,,,"Hunt, Bruce J.",CBA000048233,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,CBA000131297,,"Advisor: Hunt, Bruce J."
COMB_000051,"Seay, Cameron W.",,CBA000092551,"Intelligence Assessment of the American Negro, 1913--1945: A Socio-Cultural Recapitulation",2004,Georgia State University,CBA000162298,,,,,,"Thompson, Dennis",CBA000101900,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,CBA000131297,,"Advisor: Thompson, Dennis"
COMB_000052,"Jones, Rita Michelle",,CBA000051113,"Pills, Pleasure, and Reproduction: Reconsidering Mothers' Little Helpers of the Postwar Era (1945--1965)",2001,Washington State University,CBA000162798,,,,,,"Burbick, Joan",CBA000014432,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,CBA000131393,,"Advisor: Burbick, Joan"
COMB_000053,"Sheridan, Bridgette Ann Majella",,CBA000093909,"Childbirth, Midwifery, and Science:  The Life and Work of the French Royal Midwife Louise Bourgeois (1563--1636)",2002,Boston College,CBA000162244,,,,,,"Reinburg, Virginia",CBA000084236,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,CBA000131157,,"Advisor: Reinburg, Virginia"
COMB_000054,"Frazzini, Ronald Michael",,CBA000033761,The Development of Italian Informatics: Technology Development of Olivetti Calculating Machines in the Global Business Machine Market,2006,University of Minnesota,CBA000115146,,,,,,"Norberg, Arthur Lawrence",CBA000074539,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,CBA000131338,,"Advisor: Norberg, Arthur L."
COMB_000055,"Cooper Owens, Deirdre Benia",,CBA000021004,“Courageous Negro Servitors” and Laboring Irish Bodies: An Examination of Antebellum-Era Modern American Gynecology,2008,"University of California, Los Angeles",CBA000138968,,,,,,"Stevenson, Brenda E.",CBA000098405,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,CBA000131275,,"Advisor: Stevenson, Brenda E."
COMB_000056,"Thurtle, Phillip",,CBA000102146,"Breeding True: Information Processing and the Growth of Genetic Reasoning in America, 1880--1910",2002,Stanford University,CBA000115400,,,,,,"Lenoir, Timothy",CBA000059578,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,CBA000131263,,"Advisor: Lenoir, Timothy"
COMB_000057,"Keen, R.",,CBA000052736,The life and work of Friedrich Wöhler (1800-1882),,University College London (UK),CBA000118442,,,,,,"Smeaton, W. A.",TEMP_6E60E47A7211,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,
COMB_000058,"Chang, Jiat-Hwee",,CBA000017830,"A Genealogy of Tropical Architecture: Singapore in the British (Post)Colonial Networks of Nature, Technoscience and Governmentality, 1830s to 1960s",2009,"University of California, Berkeley",CBA000118094,,,,,,"AlSayyad, Nezar",CBA000001742,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,,,Advisor,CBA000131279,,"Advisor: AlSayyad, Nezar"
